pan,tilt,distance,temperature,valid
130,85,346,49,1
132,85,349,49,1
134,85,348,49,1
136,85,350,49,1
138,85,351,49,1
140,85,350,49,1
142,85,352,49,1
144,85,352,49,1
146,85,355,49,1
148,85,353,49,1
150,85,357,49,1
152,85,354,49,1
154,85,347,49,1
156,85,332,49,1
158,85,323,49,1
160,85,313,49,1
162,85,304,49,1
164,85,295,49,1
166,85,286,49,1
168,85,278,49,1
170,85,271,49,1
172,85,264,49,1
174,85,260,49,1
176,85,254,49,1
178,85,251,49,1
180,88,247,49,1
178,88,240,49,1
176,88,243,49,1
174,88,247,49,1
172,88,251,49,1
170,88,254,49,1
168,88,260,49,1
166,88,265,49,1
164,88,272,49,1
162,88,280,49,1
160,88,289,49,1
158,88,294,49,1
156,88,307,49,1
154,88,315,49,1
152,88,327,49,1
150,88,339,49,1
148,88,357,49,1
146,88,370,49,1
144,88,383,49,1
142,88,393,49,1
140,88,393,49,1
138,88,393,49,1
136,88,391,49,1
134,88,390,49,1
132,88,388,49,1
130,88,387,49,1
128,88,377,49,1
126,88,374,49,1
124,88,378,49,1
122,88,387,49,1
120,88,387,49,1
118,88,386,49,1
116,88,369,49,1
114,88,354,49,1
112,88,381,49,1
110,88,381,49,1
108,88,384,49,1
106,88,382,49,1
104,88,378,49,1
102,88,378,49,1
100,88,380,49,1
98,88,378,49,1
96,88,377,49,1
94,88,376,49,1
92,88,361,49,1
90,88,0,49,0
88,88,0,49,0
86,88,0,49,0
84,88,0,49,0
82,88,137,49,1
80,88,133,49,1
78,88,122,49,1
76,88,117,49,1
74,88,111,49,1
72,88,108,49,1
70,88,103,49,1
68,88,103,49,1
66,88,102,49,1
64,88,101,49,1
62,88,120,49,1
60,88,120,49,1
58,88,157,49,1
56,88,191,49,1
54,88,221,49,1
52,88,201,49,1
50,88,119,49,1
48,88,90,49,1
46,88,82,49,1
44,88,80,49,1
42,88,83,49,1
40,88,91,49,1
38,88,89,49,1
36,88,87,49,1
34,88,86,49,1
32,88,85,49,1
30,88,84,49,1
28,88,83,49,1
26,88,82,49,1
24,88,82,49,1
22,88,81,49,1
20,88,81,49,1
18,88,81,49,1
16,88,57,49,1
14,88,55,49,1
12,88,54,49,1
10,88,53,49,1
8,88,52,49,1
6,88,52,49,1
4,88,61,49,1
2,88,83,49,1
0,91,85,49,1
2,91,85,49,1
4,91,85,49,1
6,91,82,49,1
8,91,55,48,1
10,91,51,48,1
12,91,51,48,1
14,91,53,48,1
16,91,54,48,1
18,91,54,48,1
20,91,61,48,1
22,91,80,48,1
24,91,80,48,1
26,91,81,48,1
28,91,81,48,1
30,91,82,48,1
32,91,83,48,1
34,91,83,48,1
36,91,85,48,1
38,91,86,48,1
40,91,88,49,1
42,91,89,48,1
44,91,91,48,1
46,91,91,48,1
48,91,79,48,1
50,91,82,48,1
52,91,99,49,1
54,91,97,49,1
56,91,106,49,1
58,91,162,49,1
60,91,185,49,1
62,91,172,49,1
64,91,118,49,1
66,91,117,49,1
68,91,99,49,1
70,91,102,49,1
72,91,103,49,1
74,91,105,49,1
76,91,110,49,1
78,91,114,49,1
80,91,112,49,1
82,91,116,49,1
84,91,120,49,1
86,91,127,49,1
88,91,0,49,0
90,91,0,49,0
92,91,0,49,0
94,91,0,49,0
96,91,379,49,1
98,91,394,49,1
100,91,387,49,1
102,91,386,49,1
104,91,382,49,1
106,91,383,49,1
108,91,382,49,1
110,91,381,49,1
112,91,381,49,1
114,91,386,49,1
116,91,349,49,1
118,91,349,49,1
120,91,360,49,1
122,91,362,49,1
124,91,371,49,1
126,91,369,49,1
128,91,363,49,1
130,91,365,49,1
132,91,369,49,1
134,91,376,49,1
136,91,387,49,1
138,91,394,49,1
140,91,403,49,1
142,91,415,49,1
144,91,417,49,1
146,91,404,49,1
148,91,384,49,1
150,91,366,49,1
152,91,349,49,1
154,91,335,49,1
156,91,320,49,1
158,91,310,49,1
160,91,300,49,1
162,91,294,49,1
164,91,283,49,1
166,91,276,49,1
168,91,269,49,1
170,91,262,49,1
172,91,255,49,1
174,91,250,49,1
176,91,247,49,1
178,91,243,49,1
180,94,238,49,1
178,94,231,49,1
176,94,232,49,1
174,94,237,49,1
172,94,240,49,1
170,94,244,49,1
168,94,251,49,1
166,94,256,49,1
164,94,265,49,1
162,94,270,49,1
160,94,280,49,1
158,94,285,49,1
156,94,298,49,1
154,94,303,49,1
152,94,314,49,1
150,94,326,49,1
148,94,345,49,1
146,94,357,49,1
144,94,372,49,1
142,94,395,49,1
140,94,402,49,1
138,94,394,49,1
136,94,384,49,1
134,94,379,49,1
132,94,373,49,1
130,94,369,49,1
128,94,363,49,1
126,94,359,49,1
124,94,355,49,1
122,94,353,49,1
120,94,351,49,1
118,94,350,49,1
116,94,348,49,1
114,94,340,49,1
112,94,374,49,1
110,94,375,49,1
108,94,373,49,1
106,94,374,49,1
104,94,376,49,1
102,94,374,49,1
100,94,378,49,1
98,94,380,49,1
96,94,381,49,1
94,94,385,49,1
92,94,362,49,1
90,94,317,49,1
88,94,0,49,0
86,94,143,49,1
84,94,134,49,1
82,94,127,49,1
80,94,121,49,1
78,94,109,49,1
76,94,110,49,1
74,94,108,49,1
72,94,106,49,1
70,94,104,49,1
68,94,101,49,1
66,94,97,49,1
64,94,96,49,1
62,94,106,49,1
60,94,114,49,1
58,94,110,49,1
56,94,106,49,1
54,94,103,49,1
52,94,101,49,1
50,94,98,49,1
48,94,81,49,1
46,94,81,49,1
44,94,89,49,1
42,94,90,49,1
40,94,88,49,1
38,94,87,49,1
36,94,85,49,1
34,94,84,49,1
32,94,83,49,1
30,94,81,49,1
28,94,80,49,1
26,94,79,49,1
24,94,79,49,1
22,94,79,49,1
20,94,78,49,1
18,94,78,49,1
16,94,57,49,1
14,94,54,49,1
12,94,54,49,1
10,94,53,49,1
8,94,51,49,1
6,94,50,49,1
4,94,53,49,1
2,94,67,49,1
0,97,81,49,1
2,97,82,49,1
4,97,81,49,1
6,97,75,49,1
8,97,51,49,1
10,97,49,49,1
12,97,52,49,1
14,97,52,49,1
16,97,53,49,1
